domain	repository	patch	retired_by	exit_evidence
M1	build/make	patches/build-make/0001-releasetools-allow-full-ota-without-cache-size.patch	M1 cache geometry cleanup	removed from series; full OTA uses explicit cache geometry and m86 releasetools
M1	system/core	patches/system-core/0001-adbd-support-legacy-android-usb-transport.patch	M1 basic ADB cleanup	removed from series; ro.adb.legacy_android_usb was never enabled
M1	system/core	patches/system-core/0002-adbd-enter-native-android-usb-without-functionfs.patch	M1 basic ADB cleanup	removed from series; generic synchronous FunctionFS is the active owner
M2	hardware/samsung_slsi/exynos	patches/hardware-samsung-slsi-exynos/0001-gralloc-harden-fbdev-copy-post.patch	M2 m86 gralloc ownership	gralloc.m86 owns the fbdev implementation and Samsung Exynos remains unmodified
M3	lineage-sdk	patches/lineage-sdk/0001-input-add-meizu-mback-actions-and-settings.patch	M3 M86Parts ownership	removed from series; private Settings.Secure contract replaces public mBack SDK constants; build and device gates pending
M3	frameworks/base	patches/frameworks-base/0004-input-handle-configurable-meizu-mback-gestures.patch	M3 DeviceKeyHandler ownership	removed from series; M86Parts handles identity-scoped gestures and navbar policy; build and device gates pending
M3	packages/apps/LineageParts	patches/packages-apps-lineageparts/0001-buttons-add-meizu-mback-controls.patch	M3 M86Parts ownership	removed from series; the device-owned settings activity replaces the global Buttons page; build and device gates pending
M3	workspace tooling	tools/build-pro5-hybrid-dtb.py	M3 m86 DTB ownership	retired post-build/raw-versus-secure hybrid tool; device/meizu/m86/tools/build-mback-dtb.py now derives and audits the one default raw-navigation DTB, while M8 copies the locked stock DTB directly
M4	device/samsung/universal7420-common	patches/device-samsung-universal7420-common/0002-bluetooth-add-m86-address-fallback.patch	M4 m86 Bluetooth ownership	hardware/meizu/m86/bluetooth owns address derivation and SCO setup; Samsung common remains unmodified
M5	frameworks/av	patches/frameworks-av/0002-audioflinger-route-meizu-hifi-state-to-output.patch	M5 m86 audio wrapper ownership	hardware/meizu/m86/audio routes hifi_state to the active output; AudioFlinger no longer contains the m86 HiFi branch
M5	frameworks/av	patches/frameworks-av/0001-audioflinger-restore-meizu-headphone-volume.patch	M5 m86 audio wrapper ownership	hardware/meizu/m86/audio normalizes the Flyme headphone scalar to unity before forwarding stream volume; AudioFlinger has no vendor volume hook
M5	hardware/interfaces	patches/hardware-interfaces/0004-audio-call-meizu-headphone-volume-hook.patch	M5 m86 audio wrapper ownership	hardware/meizu/m86/audio calls the private Flyme callback directly; the HIDL boundary has no vendor headphone-volume dispatch
M5	packages/apps/Settings	patches/packages-apps-settings/0001-system-add-meizu-hifi-sound.patch	M5 M86Parts ownership	M86Parts owns the HiFi page and Settings.Global contract; Settings no longer carries an m86 page
M5	frameworks/base	patches/frameworks-base/0005-audio-hifi-global-settings.patch	M5 m86 audio wrapper ownership	Temporary Settings.Global migration is retired with the AudioService HiFi policy
M5	frameworks/base	patches/frameworks-base/0003-audio-restore-meizu-hifi-routing.patch	M5 m86 audio wrapper ownership	M86Parts writes Settings.Global and directly notifies the wrapper; AudioService HiFi policy is removed
M8	external/glib	patches/external-glib/0001-build-libglib-for-m86-vendor.patch	M8 default fingerprint hide	raw libfprint is not in the default or Trustonic experiment queue
M8	external/glib	patches/external-glib/0003-clang-port-legacy-android-stubs.patch	M8 default fingerprint hide	raw libfprint is not in the default or Trustonic experiment queue
M8	device/meizu/m86	patches/legacy-m86-libfprint/0001-port-m86-fpc-to-android10.patch	M8 backend split	historical raw recovery backend is mutually exclusive and absent from main series
